"date","T1","RH_1","T2","RH_2","T3","RH_3","T4","RH_4","T5","RH_5","T6","RH_6","T7","RH_7","T8","RH_8","T9","RH_9","W_1","W_2","W_3","W_4","W_5","W_6","W_7","W_8","W_9","Day_of_week"
"2016-09-04 00:00:00","25.100000000000001","50.399999999999999","23.600000000000001","50.789999999999999","25.759999999999998","46.000000000000000","25.289999999999999","48.289999999999999","24.289999999999999","57.230000000000004","17.6999999999999993","13.45666666666666700","24.289999999999999","45.466666666666669","25.890000000000001","51.590000000000003","24.500000000000000","49.030000000000001","0.0100222399491850783","0.0092200334639832189","0.0095053597028304827","0.0097070366606104071","0.0108570385645710716","1.6777394793365407e-03","0.0085945942592720384","0.0107643019648138837","0.0093974230372722012","Sunday"
"2016-09-04 00:10:00","25.066666666666666","50.399999999999999","23.600000000000001","50.826666666666668","25.789999999999999","46.000000000000000","25.289999999999999","48.289999999999999","24.289999999999999","57.060000000000002","17.7977777777777781"," 6.44000000000000039","24.289999999999999","45.399999999999999","25.890000000000001","51.590000000000003","24.426666666666666","49.030000000000001","0.0100020369162920342","0.0092267883924094466","0.0095225335480024174","0.0097070366606104071","0.0108242268240512623","8.0675690976194584e-04","0.0085818183427886236","0.0107643019648138837","0.0093556431201584495","Sunday"
"2016-09-04 00:20:00","25.066666666666666","50.466666666666669","23.600000000000001","50.899999999999999","25.789999999999999","46.060000000000002","25.289999999999999","48.289999999999999","24.230000000000000","56.933333333333330","18.0044444444444451"," 1.00000000000000000","24.289999999999999","45.399999999999999","25.890000000000001","51.530000000000001","24.500000000000000","49.090000000000003","0.0100154801574245007","0.0092402986829937164","0.0095351446508998329","0.0097070366606104071","0.0107603322524129456","1.2677491660989762e-04","0.0085818183427886236","0.0107515665105913493","0.0094090970075905809","Sunday"
"2016-09-04 00:30:00","25.000000000000000","50.500000000000000","23.600000000000001","50.899999999999999","25.789999999999999","46.030000000000001","25.289999999999999","48.289999999999999","24.199999999999999","56.759999999999998","18.0888888888888886"," 2.44888888888888889","24.289999999999999","45.326666666666668","25.890000000000001","51.363333333333330","24.390000000000001","49.030000000000001","0.0099818221232578636","0.0092402986829937164","0.0095288390364928303","0.0097070366606104071","0.0107073932828487019","3.1220381830974054e-04","0.0085677654325673792","0.0107161929385168365","0.0093348151796384567","Sunday"
"2016-09-04 00:40:00","25.000000000000000","50.522500000000001","23.500000000000000","50.826666666666668","25.856666666666666","46.090000000000003","25.289999999999999","48.289999999999999","24.259999999999998","56.759999999999998","18.0722222222222229","10.54333333333333300","24.289999999999999","45.289999999999999","25.890000000000001","51.222500000000004","24.390000000000001","49.090000000000003","0.0099863408728320807","0.0091705215342561923","0.0095797904407644852","0.0097070366606104071","0.0107466537242593835","1.3449685288671577e-03","0.0085607392123375568","0.0106863053529977804","0.0093464102239228502","Sunday"
"2016-09-04 00:50:00","25.000000000000000","50.590000000000003","23.500000000000000","50.899999999999999","25.890000000000001","46.060000000000002","25.289999999999999","48.289999999999999","24.244999999999997","56.645000000000003","17.9516666666666680","25.36388888888889070","24.289999999999999","45.289999999999999","25.890000000000001","51.126666666666672","24.426666666666666","49.126666666666672","0.0099998975092785870","0.0091839482376018817","0.0095926674137889589","0.0097070366606104071","0.0107146982510809806","3.2207827973172562e-03","0.0085607392123375568","0.0106659692612395777","0.0093743665349200443","Sunday"
"2016-09-04 01:00:00","25.000000000000000","50.500000000000000","23.500000000000000","50.899999999999999","25.963333333333335","46.266666666666666","25.259999999999998","48.289999999999999","24.199999999999999","56.466666666666669","17.7283333333333317","66.00499999999999545","24.289999999999999","45.289999999999999","25.890000000000001","51.090000000000003","24.500000000000000","49.259999999999998","0.0099818221232578636","0.0091839482376018817","0.0096789508468416042","0.0096894583684193555","0.0106511103558115487","8.3319915816658149e-03","0.0085607392123375568","0.0106581888414736918","0.0094421756012241561","Sunday"
"2016-09-04 01:10:00","25.000000000000000","50.560000000000002","23.500000000000000","50.966666666666669","26.000000000000000","46.433333333333330","25.259999999999998","48.289999999999999","24.199999999999999","56.399999999999999","17.4327777777777797","95.57555555555555316","24.289999999999999","45.363333333333330","25.890000000000001","51.090000000000003","24.500000000000000","49.326666666666668","0.0099938722657225022","0.0091961548272701844","0.0097357915218303417","0.0096894583684193555","0.0106383201779499618","1.1908985377790407e-02","0.0085747918093826547","0.0106581888414736918","0.0094551485448342992","Sunday"
"2016-09-04 01:20:00","25.000000000000000","50.590000000000003","23.500000000000000","51.030000000000001","26.000000000000000","46.433333333333330","25.289999999999999","48.326666666666668","24.199999999999999","56.363333333333330","17.1972222222222229","99.90000000000000568","24.289999999999999","45.399999999999999","25.856666666666666","51.289999999999999","24.500000000000000","49.399999999999999","0.0099998975092785870","0.0092077515247746666","0.0097357915218303417","0.0097145223425624955","0.0106312858005600270","1.2270744214799956e-02","0.0085818183427886236","0.0106791652785435121","0.0094694193984999446","Sunday"
"2016-09-04 01:30:00","25.000000000000000","50.590000000000003","23.500000000000000","51.163333333333334","26.000000000000000","46.530000000000001","25.289999999999999","48.399999999999999","24.199999999999999","56.230000000000004","16.9738888888888901","99.90000000000000568","24.289999999999999","45.466666666666669","25.856666666666666","51.430000000000000","24.500000000000000","49.399999999999999","0.0099998975092785870","0.0092321670177032723","0.0097563777791634804","0.0097294942387079683","0.0106057075650451589","1.2094975513449265e-02","0.0085945942592720384","0.0107088167429109492","0.0094694193984999446","Sunday"
